days,x,y,pathline
2500,2061.019907,0,0
5000,2938.983243,0,0
7500,3552.543783,0,0
2500,2034.137628,282.4009754,1
5000,2891.859707,394.4540531,1
7500,3539.387753,477.5487444,1
2500,1966.580661,565.1799975,2
5000,2797.288144,800.0100812,2
7500,3438.121611,983.5014066,2
2500,1854.974939,870.4276025,3
5000,2651.891337,1231.777356,3
7500,3255.509245,1500.908888,3
2500,1722.995643,1134.858752,4
5000,2442.037546,1604.304693,4
7500,2998.260985,1947.961855,4
2500,1529.99644,1395.79927,5
5000,2164.377908,1965.931681,5
7500,2649.490739,2399.072525,5
2500,1374.209646,1567.38212,6
5000,1930.672514,2193.566273,6
7500,2368.365672,2671.493064,6
2500,1106.58085,1765.403045,7
5000,1554.629341,2462.622196,7
7500,1900.85092,3004.086056,7
2500,838.9047984,1907.662064,8
5000,1168.360001,2664.801636,8
7500,1436.65983,3258.599778,8
2500,557.6379635,2012.796885,9
5000,785.4269251,2803.771647,9
7500,965.6323936,3446.224415,9
2500,276.3301735,2069.604721,10
5000,385.4974939,2887.04276,10
7500,484.3787903,3566.97257,10
2500,0,2100.36513,11
5000,0,2936.793722,11
7500,0,3602.219135,11
